,city,job,link,state,count
0,New York City,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-new-york-city,-ny.aspx",New York,798.0
1,Chicago,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-chicago,-il.aspx",Illinois,525.0
2,Redmond,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-redmond,-wa.aspx",Washington,859.0
3,Atlanta,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-atlanta,-ga.aspx",Georgia,300.0
4,Washington,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-washington,-dc.aspx",District of Columbia,878.0
5,Austin,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-austin,-tx.aspx",Texas,271.0
6,Seattle,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-seattle,-wa.aspx",Washington,867.0
7,Indianapolis,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-indianapolis,-in.aspx",Indiana,258.0
8,Charlotte,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-charlotte,-nc.aspx",North Carolina,235.0
9,Houston,.Net,"https://www.monster.com/jobs/q-dot-net-jobs-l-houston,-tx.aspx",Texas,237.0
10,Harrisburg,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-harrisburg,-pa.aspx",Pennsylvania,37.0
11,Washington,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-washington,-dc.aspx",District of Columbia,37.0
12,Houston,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-houston,-tx.aspx",Texas,19.0
13,Indianapolis,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-indianapolis,-in.aspx",Indiana,20.0
14,Austin,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-austin,-tx.aspx",Texas,18.0
15,Richmond,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-richmond,-va.aspx",Virginia,16.0
16,Chicago,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-chicago,-il.aspx",Illinois,20.0
17,Little Rock,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-little-rock,-ar.aspx",Arkansas,15.0
18,New York City,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-new-york-city,-ny.aspx",New York,39.0
19,Philadelphia,.NET Developer,"https://www.monster.com/jobs/q-dot-net-developer-jobs-l-philadelphia,-pa.aspx",Pennsylvania,25.0
20,New York City,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-new-york-city,-ny.aspx",New York,15.0
21,San Jose,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-san-jose,-ca.aspx",California,7.0
22,Irvine,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-irvine,-ca.aspx",California,2.0
23,Jersey City,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-jersey-city,-nj.aspx",New Jersey,15.0
24,San Francisco,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-san-francisco,-ca.aspx",California,2.0
25,Weehawken,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-weehawken,-nj.aspx",New Jersey,15.0
26,Austin,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-austin,-tx.aspx",Texas,1.0
27,Baltimore,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-baltimore,-md.aspx",Maryland,1.0
28,Bellevue,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-bellevue,-wa.aspx",Washington,2.0
29,Chicago,2Nd Line Support,"https://www.monster.com/jobs/q-2nd-line-support-jobs-l-chicago,-il.aspx",Illinois,1.0
30,Costa Mesa,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-costa-mesa,-ca.aspx",California,6.0
31,Jersey City,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-jersey-city,-nj.aspx",New Jersey,5.0
32,Newport Beach,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-newport-beach,-ca.aspx",California,6.0
33,Salt Lake City,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-salt-lake-city,-ut.aspx",Utah,3.0
34,Cary,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-cary,-nc.aspx",North Carolina,2.0
35,Cincinnati,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-cincinnati,-oh.aspx",Ohio,2.0
36,Austin,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-austin,-tx.aspx",Texas,1.0
37,Minneapolis,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-minneapolis,-mn.aspx",Minnesota,1.0
38,New York City,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-new-york-city,-ny.aspx",New York,5.0
39,New York City,3Rd Line Support,"https://www.monster.com/jobs/q-3rd-line-support-jobs-l-new-york-city,-ny.aspx",New York,5.0
40,Florham Park,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-florham-park,-nj.aspx",New Jersey,3.0
41,Charleston,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-charleston,-wv.aspx",West Virginia,1.0
42,East Chicago,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-east-chicago,-in.aspx",Indiana,1.0
43,Greer,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-greer,-sc.aspx",South Carolina,1.0
44,Jersey City,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-jersey-city,-nj.aspx",New Jersey,3.0
45,Little Rock,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-little-rock,-ar.aspx",Arkansas,1.0
46,Mission Viejo,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-mission-viejo,-ca.aspx",California,1.0
47,Phoenix,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-phoenix,-az.aspx",Arizona,1.0
48,Tallahassee,ABAP programmer,"https://www.monster.com/jobs/q-abap-programmer-jobs-l-tallahassee,-fl.aspx",Florida,1.0
49,Albany,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-albany,-ny.aspx",New York,2.0
50,Detroit,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-detroit,-mi.aspx",Michigan,3.0
51,Houston,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-houston,-tx.aspx",Texas,2.0
52,Greensboro,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-greensboro,-nc.aspx",North Carolina,1.0
53,Herndon,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-herndon,-va.aspx",Virginia,1.0
54,New York City,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-new-york-city,-ny.aspx",New York,1.0
55,South Lyon,Access Developer,"https://www.monster.com/jobs/q-access-developer-jobs-l-south-lyon,-mi.aspx",Michigan,48.0
